CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1697054542882,1697054543640,1697054545009,+30,Face2,Face1,False
1697054545512,1697054547173,1697054547763,+30,Face3,Face2,False
1697054548263,1697054549864,1697054550872,0,Face1,Face3,False
1697054551375,1697054552175,1697054552593,-30,Face1,Face3,False
1697054553095,1697054554723,1697054555138,0,Face3,Face2,False
1697054555639,1697054557181,1697054557521,0,Face1,Face1,True
1697054558023,1697054559303,1697054559810,+30,Face1,Face1,True
1697054560312,1697054561441,1697054561906,0,Face2,Face1,False
