CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1683232455823,1683232457339,1683232461269,0,Face2,Face1,False
1683232461771,1683232463279,1683232464237,0,Face2,Face1,False
1683232464741,1683232466255,1683232466783,0,Face2,Face1,False
1683232467290,1683232468807,1683232471991,+30,Face2,Face1,False
1683232472499,1683232474016,1683232475100,0,Face3,Face3,True
1683232475611,1683232477131,1683232480166,-30,Face1,Face1,True
1683232480667,1683232482182,1683232483028,-30,Face2,Face2,True
1683232483530,1683232485038,1683232486145,0,Face3,Face3,True
1683232486651,1683232488159,1683232488934,0,Face2,Face2,True
1683232489440,1683232490956,1683232492884,0,Face2,Face1,False
1683232493389,1683232494900,1683232495707,-30,Face2,Face1,False
