CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1682996847896,1682996849399,1682996852011,+30,Face3,Face2,False
1682996852512,1682996854014,1682996854714,0,Face2,Face3,False
1682996855215,1682996856719,1682996857322,0,Face2,Face3,False
1682996857824,1682996859328,1682996859931,-30,Face3,Face1,False
1682996860431,1682996861934,1682996862588,-30,Face3,Face2,False
1682996863088,1682996864592,1682996865460,+30,Face1,Face1,True
1682996865961,1682996867463,1682996868138,0,Face1,Face2,False
1682996868639,1682996870140,1682996870850,+30,Face2,Face3,False
1682996871352,1682996872854,1682996873538,+30,Face3,Face2,False
1682996874038,1682996875540,1682996876179,0,Face2,Face3,False
1682996876681,1682996878184,1682996878795,0,Face1,Face1,True
