CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1698393751208,1698393751959,1698393752668,-30,Face2,Face2,True
1698393753169,1698393754284,1698393754892,+30,Face3,Face3,True
1698393755393,1698393756568,1698393757132,+30,Face3,Face3,True
1698393757633,1698393759270,1698393759790,+30,Face3,Face3,True
1698393760291,1698393761018,1698393761748,0,Face3,Face3,True
